message,language,expected_entity_type,expected_code,expected_entity_value
I work as a software engineer. ,EN,_JOB,200, Software engineer
Her job is to be a teacher. ,EN,_JOB,200, Teacher
He is employed as a doctor. ,EN,_JOB,200, Doctor
My profession is a lawyer. ,EN,_JOB,200, Lawyer
She works as a nurse. ,EN,_JOB,200, Nurse
He is a firefighter. ,EN,_JOB,200, Firefighter
My job is to be a chef. ,EN,_JOB,200, Chef
I work as a graphic designer. ,EN,_JOB,200, Graphic designer
He is an accountant. ,EN,_JOB,200, Accountant
She works as a sales representative. ,EN,_JOB,200, Sales representative
My profession is a journalist. ,EN,_JOB,200, Journalist
He is employed as an architect. ,EN,_JOB,200, Architect
I work as a marketing manager. ,EN,_JOB,200, Marketing manager
She is a police officer. ,EN,_JOB,200, Police officer
His job is to be a pilot. ,EN,_JOB,200, Pilot
I work as a financial analyst. ,EN,_JOB,200, Financial analyst
She is a librarian. ,EN,_JOB,200, Librarian
He is employed as a mechanic. ,EN,_JOB,200, Mechanic
My profession is a dentist. ,EN,_JOB,200, Dentist
I work as a software developer. ,EN,_JOB,200, Software developer
She is a pharmacist. ,EN,_JOB,200, Pharmacist
His job is to be a photographer. ,EN,_JOB,200, Photographer
I work as a project manager. ,EN,_JOB,200, Project manager
He is a construction worker. ,EN,_JOB,200, Construction worker
My profession is a professor. ,EN,_JOB,200, Professor
She is employed as a psychologist. ,EN,_JOB,200, Psychologist
I work as a data analyst. ,EN,_JOB,200, Data analyst
He is a mechanic. ,EN,_JOB,200, Mechanic
She works as a financial advisor. ,EN,_JOB,200, Financial advisor
My job is to be a fashion designer. ,EN,_JOB,200, Fashion designer
I work as a teacher. ,EN,_JOB,200, Teacher
She is a nurse. ,EN,_JOB,200, Nurse
His job is to be a software engineer. ,EN,_JOB,200, Software engineer
I work as a lawyer. ,EN,_JOB,200, Lawyer
My profession is a chef. ,EN,_JOB,200, Chef
I work as a nurse practitioner. ,EN,_JOB,200, Nurse practitioner
She is a marketing manager. ,EN,_JOB,200, Marketing manager
His job is to be a graphic designer. ,EN,_JOB,200, Graphic designer
I work as a police officer. ,EN,_JOB,200, Police officer
He is a pilot. ,EN,_JOB,200, Pilot
My profession is an accountant. ,EN,_JOB,200, Accountant
She works as a software developer. ,EN,_JOB,200, Software developer
I work as a journalist. ,EN,_JOB,200, Journalist
He is a dentist. ,EN,_JOB,200, Dentist
She is a teacher. ,EN,_JOB,200, Teacher
His job is to be a project manager. ,EN,_JOB,200, Project manager
I work as a pharmacist. ,EN,_JOB,200, Pharmacist
She is a photographer. ,EN,_JOB,200, Photographer
My profession is a mechanic. ,EN,_JOB,200, Mechanic
